         337545 function calls (333626 primitive calls) in 1.927 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      497    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\flags.py:51(__init__)
      209    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\asyncio\tasks.py:754(_done_callback)
     3536    0.001    0.000    0.001    0.000 {method 'ljust' of 'str' objects}
      209    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:532(treat_as_nested)
      608    0.001    0.000    0.006    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\printing.py:513(justify)
      118    0.001    0.000    0.018    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexing.py:1720(_getitem_axis)
      209    0.001    0.000    0.063    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:1006(convert_object_array)
      442    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      700    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\base.py:166(__setattr__)
      660    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
      232    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:764(_get_formatter)
       72    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\cast.py:1602(maybe_cast_to_integer_array)
      106    0.001    0.000    0.019    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexing.py:1690(_getitem_tuple)
      542    0.001    0.000    0.002    0.000 {built-in method builtins.all}
      308    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\series.py:729(name)
      209    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\dataclasses.py:1256(is_dataclass)
      172    0.001    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\missing.py:261(_isna_array)
      294    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:2003(internal_values)
      660    0.001    0.000    0.002    0.000 <frozen abc>:117(__instancecheck__)
      164    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:2709(new_block)
      362    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\generic.py:585(_get_axis)
      128    0.001    0.000    0.063    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:1193(get_result)
      544    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:831(_reset_identity)
      427    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\_config\__init__.py:34(using_copy_on_write)
      102    0.001    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\missing.py:380(notna)
       60    0.001    0.000    0.968    0.016 C:\Program Files\Python311\Lib\asyncio\windows_events.py:804(_poll)
     1483    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\asyncio\base_events.py:1940(get_debug)
      668    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFB1B508F90}
      213    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:1763(is_consolidated)
        8    0.001    0.000    0.047    0.006 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\string.py:163(<listcomp>)
     1772    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\typing.py:2256(cast)
      328    0.001    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\common.py:97(is_bool_indexer)
        1    0.001    0.001    0.005    0.005 C:\Program Files\Python311\Lib\asyncio\tasks.py:718(gather)
      102    0.001    0.000    0.004    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\frame.py:4596(_box_col_values)
        3    0.001    0.000    0.001    0.000 {built-in method nt.stat}
      880    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\printing.py:60(<genexpr>)
      209    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\asyncio\events.py:147(cancel)
   891/55    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      212    0.001    0.000    0.005    0.000 C:\Program Files\Python311\Lib\asyncio\tasks.py:652(_ensure_future)
      102    0.001    0.000    0.008    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\frame.py:3971(_ixs)
      106    0.001    0.000    0.005    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexing.py:958(_validate_tuple_indexer)
      213    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\managers.py:1771(_consolidate_check)
      164    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\generic.py:806(_set_axis)
      209    0.001    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\construction.py:950(_validate_or_indexify_columns)
      122    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexing.py:2758(check_dict_or_set_indexers)
     1067    0.001    0.000    0.001    0.000 C:\Program Files\Python311\Lib\asyncio\base_events.py:517(_check_closed)
      106    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexing.py:1653(_is_scalar_access)
      272    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\range.py:1009(__getitem__)
      209    0.001    0.000    0.001    0.000 {built-in method _heapq.heappush}
      164    0.001    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\internals\blocks.py:2638(maybe_coerce_values)
      164    0.001    0.000    0.002    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\series.py:779(name)
     1772    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
      212    0.000    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexing.py:1575(_validate_key)
      285    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\asyncio\base_events.py:700(time)
       28    0.000    0.000    0.011    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:817(_get_formatted_index)
        8    0.000    0.000    0.139    0.017 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\string.py:153(_fit_strcols_to_terminal_width)
      172    0.000    0.000    0.003    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:2421(all)
      204    0.000    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\range.py:393(__contains__)
      204    0.000    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexing.py:1668(_validate_integer)
      256    0.000    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:1480(<lambda>)
      209    0.000    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\inference.py:306(is_named_tuple)
       78    0.000    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\cast.py:1577(construct_1d_object_array_from_listlike)
      136    0.000    0.000    0.005    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\printing.py:567(get_adjustment)
      210    0.000    0.000    0.002    0.000 {method 'set_result' of '_asyncio.Future' objects}
       16    0.000    0.000    0.007    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\format.py:776(_get_formatted_column_labels)
       70    0.000    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\arrays\numpy_.py:95(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:3952(_get_indexer)
      242    0.000    0.000    0.000    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\fromnumeric.py:72(<dictcomp>)
       70    0.000    0.000    0.025    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\strings\accessor.py:3048(len)
       88    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\warnings.py:181(_add_filter)
       76    0.000    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\numpy\core\_dtype.py:346(_name_get)
       12    0.000    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\io\formats\string.py:89(_insert_dot_separator_vertical)
      138    0.000    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\common.py:1066(is_numeric_dtype)
       70    0.000    0.000    0.006    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\series.py:6398(_reduce)
       26    0.000    0.000    0.006    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\indexes\base.py:1448(_format_with_header)
      209    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
       92    0.000    0.000    0.001    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\dtypes\common.py:1581(pandas_dtype)
       70    0.000    0.000    0.006    0.000 C:\Users\arshdeep.singh\AppData\Roaming\Python\Python311\site-packages\pandas\core\generic.py:12355(_stat_function)
      209    0.000    0.000    0.000    0.000 C:\Program Files\Python311\Lib\asyncio\events.py:64(cancel)
       72    0.000    0.000    0.001    0.000 C:\Program Files\Python311\Lib\warnings.py:130(filterwarnings)
